,location,timestamp,title,username,cantons,starttime,endtime,duplicate,place,category,severity
0,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Aetingen,HAGEL,7
1,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Oberbuchsiten,BLITZE,5
2,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Oberbuchsiten,WIND,6
3,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Trimbach,REGEN,4
4,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Trimbach,BLITZE,1
5,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bellach,REGEN,2
6,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Dornach,WIND,6
7,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Solothurn,HAGEL,2
8,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Wisen SO,BEWOELKUNG,3
9,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Stüsslingen,BEWOELKUNG,5
10,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Witterswil,BEWOELKUNG,1
11,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Stüsslingen,BEWOELKUNG,5
12,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Stüsslingen,WIND,1
13,3074 Muri bei Bern,2022-05-21,Gewitter 22.05.2022 - 23.05.2022,Federwolke,Solothurn,2022-05-23 06:38:44.220723736,2022-05-23 18:10:15.779276264,0.0,Bolken,BEWOELKUNG,3
